행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,반여제1동,90세 - 99세,여,106
부산광역시 해운대구,반여제1동,100세 - 109세,남,1
부산광역시 해운대구,반여제1동,100세 - 109세,여,1
부산광역시 해운대구,반여제1동,110세 이상,남,0
부산광역시 해운대구,반여제1동,110세 이상,여,1
부산광역시 해운대구,반여제2동,0세 - 9세,남,188
부산광역시 해운대구,반여제2동,0세 - 9세,여,199
부산광역시 해운대구,반여제2동,10세 - 19세,남,270
부산광역시 해운대구,반여제2동,10세 - 19세,여,257
부산광역시 해운대구,반여제2동,20세 - 29세,남,657
부산광역시 해운대구,반여제2동,20세 - 29세,여,493
부산광역시 해운대구,반여제2동,30세 - 39세,남,729
부산광역시 해운대구,반여제2동,30세 - 39세,여,602
부산광역시 해운대구,반여제2동,40세 - 49세,남,857
부산광역시 해운대구,반여제2동,40세 - 49세,여,690
부산광역시 해운대구,반여제2동,50세 - 59세,남,1036
부산광역시 해운대구,반여제2동,50세 - 59세,여,1098
부산광역시 해운대구,반여제2동,60세 - 69세,남,1172
부산광역시 해운대구,반여제2동,60세 - 69세,여,1376
부산광역시 해운대구,반여제2동,70세 - 79세,남,665
부산광역시 해운대구,반여제2동,70세 - 79세,여,927
부산광역시 해운대구,반여제2동,80세 - 89세,남,229
부산광역시 해운대구,반여제2동,80세 - 89세,여,484
부산광역시 해운대구,반여제2동,90세 - 99세,남,20
부산광역시 해운대구,반여제2동,90세 - 99세,여,56
부산광역시 해운대구,반여제2동,100세 - 109세,남,0
부산광역시 해운대구,반여제2동,100세 - 109세,여,1
부산광역시 해운대구,반여제2동,110세 이상,남,0
부산광역시 해운대구,반여제2동,110세 이상,여,0
부산광역시 해운대구,반여제3동,0세 - 9세,남,88
부산광역시 해운대구,반여제3동,0세 - 9세,여,70
부산광역시 해운대구,반여제3동,10세 - 19세,남,203
부산광역시 해운대구,반여제3동,10세 - 19세,여,175
부산광역시 해운대구,반여제3동,20세 - 29세,남,455
부산광역시 해운대구,반여제3동,20세 - 29세,여,369
부산광역시 해운대구,반여제3동,30세 - 39세,남,400
부산광역시 해운대구,반여제3동,30세 - 39세,여,275
부산광역시 해운대구,반여제3동,40세 - 49세,남,520
부산광역시 해운대구,반여제3동,40세 - 49세,여,439
부산광역시 해운대구,반여제3동,50세 - 59세,남,763
부산광역시 해운대구,반여제3동,50세 - 59세,여,727
부산광역시 해운대구,반여제3동,60세 - 69세,남,862
부산광역시 해운대구,반여제3동,60세 - 69세,여,1042
부산광역시 해운대구,반여제3동,70세 - 79세,남,467
부산광역시 해운대구,반여제3동,70세 - 79세,여,648
부산광역시 해운대구,반여제3동,80세 - 89세,남,192
부산광역시 해운대구,반여제3동,80세 - 89세,여,350
부산광역시 해운대구,반여제3동,90세 - 99세,남,8
부산광역시 해운대구,반여제3동,90세 - 99세,여,47
부산광역시 해운대구,반여제3동,100세 - 109세,남,0
부산광역시 해운대구,반여제3동,100세 - 109세,여,0
부산광역시 해운대구,반여제3동,110세 이상,남,0
부산광역시 해운대구,반여제3동,110세 이상,여,0
부산광역시 해운대구,반여제4동,0세 - 9세,남,540
부산광역시 해운대구,반여제4동,0세 - 9세,여,506
부산광역시 해운대구,반여제4동,10세 - 19세,남,737
부산광역시 해운대구,반여제4동,10세 - 19세,여,711
부산광역시 해운대구,반여제4동,20세 - 29세,남,930
부산광역시 해운대구,반여제4동,20세 - 29세,여,769
부산광역시 해운대구,반여제4동,30세 - 39세,남,832
부산광역시 해운대구,반여제4동,30세 - 39세,여,845
부산광역시 해운대구,반여제4동,40세 - 49세,남,1200
부산광역시 해운대구,반여제4동,40세 - 49세,여,1192
부산광역시 해운대구,반여제4동,50세 - 59세,남,1253
부산광역시 해운대구,반여제4동,50세 - 59세,여,1461
부산광역시 해운대구,반여제4동,60세 - 69세,남,1233
부산광역시 해운대구,반여제4동,60세 - 69세,여,1366
부산광역시 해운대구,반여제4동,70세 - 79세,남,574
부산광역시 해운대구,반여제4동,70세 - 79세,여,564
부산광역시 해운대구,반여제4동,80세 - 89세,남,131
부산광역시 해운대구,반여제4동,80세 - 89세,여,235
부산광역시 해운대구,반여제4동,90세 - 99세,남,4
부산광역시 해운대구,반여제4동,90세 - 99세,여,37
부산광역시 해운대구,반여제4동,100세 - 109세,남,0
부산광역시 해운대구,반여제4동,100세 - 109세,여,0
부산광역시 해운대구,반여제4동,110세 이상,남,0
부산광역시 해운대구,반여제4동,110세 이상,여,0
부산광역시 해운대구,반송제1동,0세 - 9세,남,145
부산광역시 해운대구,반송제1동,0세 - 9세,여,143
부산광역시 해운대구,반송제1동,10세 - 19세,남,297
부산광역시 해운대구,반송제1동,10세 - 19세,여,295
부산광역시 해운대구,반송제1동,20세 - 29세,남,752
부산광역시 해운대구,반송제1동,20세 - 29세,여,579
부산광역시 해운대구,반송제1동,30세 - 39세,남,597
부산광역시 해운대구,반송제1동,30세 - 39세,여,405
부산광역시 해운대구,반송제1동,40세 - 49세,남,843
부산광역시 해운대구,반송제1동,40세 - 49세,여,630
부산광역시 해운대구,반송제1동,50세 - 59세,남,1288
부산광역시 해운대구,반송제1동,50세 - 59세,여,1118
